字,漢音
畸,キ
羇,キ
掎,キ
攲,キ
竒,キ
㱦,キ
妓,キ
躸,キ
卑,ヒ
鵯,ヒ
椑,ヒ
箄,ヒ
裨,ヒ
鞞,ヒ
𩔹,ヒ
痺,ヒ
渒,ヒ
錍,ヒ
𢃍,ヒ
陴,ヒ
𩫫,ヒ
焷,ヒ
脾,ヒ
䴽,ヒ
埤,ヒ
裨,ヒ
蜱,ヒ
𧓎,ヒ
螷,ヒ
蠯,ヒ
㯅,ヒ
郫,ヒ
𪌈,ヒ
紕,ヒ
䌳,シ
絁,シ
施,シ
葹,シ
䙾,シ
鍦,シ
鉈,シ
鸍,シ
𪓿,シ
䗐,シ
𧠜,シ
𢻫,シ
斯,シ
虒,シ
𩆵,シ
榹,シ
㴲,シ
廝,シ
㒋,シ
凘,シ
磃,シ
㾷,シ
傂,シ
謕,シ
鼶,シ
𪆁,シ
蟴,シ
㽄,シ
螔,シ
䫢,シ
䌳,シ
䔮,シ
菥,シ
𥕶,シ
蜤,シ
燍,シ
禠,シ
鐁,シ
差,シ
嵯,シ
𪙉,シ
縒,シ
摛,チ
螭,チ
誺,チ
魑,チ
黐,チ
㷰,チ
离,チ
𡴥,チ
彲,チ
彌,ビ
𢏏,ビ
鸍,ビ
镾,ビ
䍘,ビ
𨤐,ビ
𥉓,ビ
㣆,ビ
獼,ビ
𥸀,ビ
擟,ビ
麊,ビ
冞,ビ
㜷,ビ
䥸,ビ
𥎖,ビ
瀰,ビ
雌,シ
𦙼,シ
姕,シ
鈭,シ
𦍧,シ
知,チ
䵹,チ
鼅,チ
蜘,チ
䣽,チ
䝷,チ
漪,イ
猗,イ
椅,イ
旖,イ
禕,イ
陭,イ
欹,イ
㾨,イ
犄,イ
𩕲,イ
檹,イ
馳,チ
趍,チ
池,チ
簃,チ
篪,チ
䶵,チ
踟,チ
褫,チ
䪧,チ
䶔,チ
誃,チ
傂,チ
䞾,チ
眭,スイ
危,グヰ
㕒,グヰ
洈,グヰ
峗,グヰ
詑,イ
焁,イ
釃,シ
簁,シ
欐,シ
襹,シ
褷,シ
𧕯,シ
籭,シ
痿,ヰ
䬐,ヰ
厜,シ
觜,シ
纗,シ
惢,シ
嫢,シ
㭰,シ
劑,セイ
㭰,セイ
𦸺,セイ
臇,セイ
𤎱,セイ
㷷,セイ
衰,スイ
夊,スイ
䮔,セイ
眵,シ
䌳,シ
齜,シ
𤿎,ヒ
齹,シ
脂,シ
祗,シ
汦,シ
砥,シ
栺,シ
鴲,シ
㴯,シ
疻,シ
䓜,シ
𥁼,シ
姨,イ
彞,イ
寅,イ
夷,イ
峓,イ
恞,イ
眱,イ
𣟗,イ
珆,イ
蔩,イ
𡰥,イ
痍,イ
䧅,イ
荑,イ
桋,イ
蛦,イ
胰,イ
鮧,イ
羠,イ
羨,イ
鏔,イ
𢓡,イ
鴺,イ
𡱐,イ
跠,イ
洟,イ
師,シ
鰤,シ
蒒,シ
篩,シ
獅,シ
螄,シ
𣬈,ヒ
毗,ヒ
比,ヒ
琵,ヒ
㮰,ヒ
芘,ヒ
沘,ヒ
貔,ヒ
豼,ヒ
膍,ヒ
肶,ヒ
蚍,ヒ
𧖈,ヒ
枇,ヒ
仳,ヒ
𨈚,ヒ
魮,ヒ
鈚,ヒ
𦳈,ヒ
𦊁,ヒ
阰,ヒ
𧑜,ヒ
鵧,ヒ
咨,シ
資,シ
粢,シ
𪗉,シ
𪗋,シ
𧞓,シ
諮,シ
姿,シ
齍,シ
澬,シ
𣳩,シ
齎,シ
蒫,シ
𩆂,シ
𩄚,シ
飢,キ
机,キ
肌,キ
虮,キ
鴟,シ
𨾦,シ
鵄,シ
胵,シ
𩶅,シ
𧪡,シ
𨒬,シ
絺,チ
辴,チ
郗,チ
𥭘,チ
脪,チ
瓻,チ
訵,チ
郪,シ
趑,シ
𨌅,シ
趀,シ
𧾒,シ
𧠵,シ
𡰾,シ
𡳠,シ
蠀,シ
茨,シ
薋,シ
薺,シ
餈,シ
𩜴,シ
垐,シ
䆅,シ
𧓉,シ
瓷,シ
澬,シ
𥿆,シ
𨌅,シ
𩆂,シ
尼,ヂ
柅,ヂ
怩,ヂ
蚭,ヂ
跜,ヂ
呢,ヂ
𩚯,ヂ
䝚,ヂ
墀,チ
𡎰,チ
坻,チ
泜,チ
遲,チ
遟,チ
蚳,チ
岻,チ
彽,チ
阺,チ
荎,チ
菭,チ
謘,チ
莉,チ
貾,チ
私,シ
鋖,シ
厶,シ
𦮺,シ
㺨,シ
尸,シ
鳲,シ
屍,シ
蓍,シ
鬐,キ
𦓀,キ
耆,キ
愭,キ
𧡺,キ
𥉙,キ
䅲,キ
祁,キ
𨪌,キ
鰭,キ
鮨,キ
伊,イ
咿,イ
𧉅,イ
黝,イ
黟,イ
棃,リ
梨,リ
𠠍,リ
秜,リ
蜊,リ
蔾,リ
犂,リ
刕,リ
𢤂,リ
鯬,リ
鑗,リ
䴻,リ
蟍,リ
𠠍,リ
葵,クヰ
鄈,クヰ
楑,クヰ
𩹍,クヰ
𢜽,クヰ
𦝢,クヰ
䳫,クヰ
𧍜,クヰ
追,ツイ
䨨,ツイ
娺,ツイ
龜,クヰ
𪚦,クヰ
𤕣,クヰ
䟸,クヰ
螝,クヰ
騩,クヰ
蕤,ズイ
甤,ズイ
緌,ズイ
擩,ズイ
桵,ズイ
䅑,ズイ
捼,ズイ
衰,スイ
榱,スイ
𤸬,スイ
惟,ヰ
𣄧,ヰ
維,ヰ
遺,ヰ
濰,ヰ
壝,ヰ
𥌰,ヰ
蓶,ヰ
䜅,ヰ
琟,ヰ
唯,ヰ
𧔥,ヰ
㶟,ルイ
纍,ルイ
虆,ルイ
欙,ルイ
𤜖,ルイ
𡿔,ルイ
㠥,ルイ
𡤯,ルイ
瓃,ルイ
𥍔,ルイ
鸓,ルイ
儽,ルイ
纝,ルイ
綏,スイ
雖,スイ
荾,スイ
荽,スイ
䒘,スイ
葰,スイ
浽,スイ
奞,スイ
夊,スイ
睢,スイ
濉,スイ
䅑,スイ
逵,クヰ
夔,クヰ
𣦞,クヰ
馗,クヰ
戣,クヰ
鍨,クヰ
騤,クヰ
犪,クヰ
躨,クヰ
𦝢,クヰ
艽,クヰ
䟸,クヰ
𠊾,クヰ
𨾗,クヰ
頯,クヰ
𠐽,クヰ
𧢦,クヰ
𢌳,クヰ
頄,クヰ
眉,ビ
睂,ビ
嵋,ビ
湄,ビ
𤃱,ビ
鶥,ビ
楣,ビ
瑂,ビ
矀,ビ
覹,ビ
䉠,ビ
黴,ビ
麋,ビ
蘪,ビ
郿,ビ
㵟,ビ
薇,ビ
𦗕,ビ
葿,ビ
攗,ビ
悲,ヒ
錐,スイ
隹,スイ
𪋇,スイ
騅,スイ
㮅,スイ
䶆,スイ
萑,スイ
鵻,スイ
誰,スイ
䜅,スイ
脽,スイ
帷,ヰ
邳,ヒ
鉟,ヒ
䲹,ヒ
岯,ヒ
魾,ヒ
䫠,ヒ
丕,ヒ
㔻,ヒ
伾,ヒ
秠,ヒ
䪹,ヒ
駓,ヒ
怌,ヒ
䫠,ヒ
豾,ヒ
髬,ヒ
魾,ヒ
鉟,ヒ
鎚,ツイ
椎,ツイ
槌,ツイ
桘,ツイ
顀,ツイ
推,スイ
蓷,スイ
胝,チ
疷,チ
秪,チ
氐,チ
紕,ヒ
㩺,ヒ
𦀘,ヒ
𧧺,ヒ
悂,ヒ
𢞗,ヒ
嶉,スイ
檇,スイ
巋,クヰ
蘬,クヰ
狋,ギ
咦,イ
忾,イ
䐅,イ
𣢂,イ
屎,イ
之,シ
臸,シ
芝,シ
㞢,シ
飴,イ
𩛛,イ
䬮,イ
怡,イ
弬,イ
媐,イ
异,イ
㼢,イ
𣐵,イ
鏔,イ
圯,イ
貽,イ
巸,イ
洍,イ
𦣝,イ
𩠞,イ
頤,イ
詒,イ
㺿,イ
沶,イ
宧,イ
𦚟,イ
䱌,イ
姬,イ
台,イ
眙,イ
瓵,イ
時,シ
旹,シ
塒,シ
鼭,シ
榯,シ
蒔,シ
鰣,シ
疑,ギ
嶷,ギ
觺,ギ
思,シ
恖,シ
司,シ
罳,シ
伺,シ
絲,シ
緦,シ
𥯨,シ
禗,シ
覗,シ
㺇,シ
𥄶,シ
蕬,シ
偲,シ
楒,シ
輜,シ
颸,シ
其,キ
期,キ
旗,キ
綦,キ
綨,キ
𢃛,キ
萁,キ
𧯯,キ
蜝,キ
琪,キ
麒,キ
騏,キ
淇,キ
䳢,キ
錤,キ
藄,キ
棊,キ
櫀,キ
碁,キ
𤪌,キ
璂,キ
鯕,キ
蘄,キ
祺,キ
禥,キ
踑,キ
𦪆,キ
䑴,キ
畁,キ
䶞,キ
詩,シ
邿,シ
齝,シ
𪗪,シ
呞,シ
䀢,シ
而,ジ
栭,ジ
𣚊,ジ
𨼏,ジ
陾,ジ
陑,ジ
髵,ジ
峏,ジ
𨎪,ジ
輀,ジ
𦠌,ジ
胹,ジ
𦓒,ジ
𩰴,ジ
洏,ジ
鮞,ジ
耏,ジ
咡,ジ
䎠,ジ
誀,ジ
鴯,ジ
欺,キ
娸,キ
䫥,キ
䫏,キ
𠐾,キ
魌,キ
僛,キ
𪅾,キ
𪀩,キ
䶞,キ
抾,キ
姬,キ
朞,キ
稘,キ
基,キ
箕,キ
萁,キ
䇫,キ
諅,キ
其,キ
錤,キ
居,キ
諆,キ
詞,シ
祠,シ
柌,シ
辭,シ
辤,シ
辝,シ
𥿆,シ
釐,リ
貍,リ
狸,リ
氂,リ
嫠,リ
剺,リ
梩,リ
犛,リ
𣁟,リ
倈,リ
艃,リ
𣮉,リ
孷,リ
𢟤,リ
𩭇,リ
㾖,リ
筣,リ
斄,リ
𠩬,リ
𠭰,リ
葘,シ
甾,シ
𦸜,シ
湽,シ
𥀜,シ
茬,シ
輺,シ
鍿,シ
鶅,シ
緇,シ
䊷,シ
椔,シ
鯔,シ
䎩,シ
䣎,シ
僖,キ
歖,キ
熙,キ
嬉,キ
禧,キ
媐,キ
譆,キ
𠩺,キ
瞦,キ
㶼,キ
熹,キ
嘻,キ
𣢑,キ
娭,キ
誒,キ
醫,イ
毉,イ
譩,イ
㿄,イ
噫,イ
癡,チ
齝,チ
笞,チ
痴,チ
治,チ
持,チ
莉,チ
蚩,シ
嗤,シ
妛,シ
媸,シ
𦐉,シ
𣍆,シ
𥉍,シ
慈,シ
礠,シ
鶿,シ
濨,シ
兹,シ
兹,シ
孳,シ
嵫,シ
孜,シ
滋,シ
嗞,シ
𪑿,シ
鎡,シ
孖,シ
鼒,シ
鰦,シ
仔,シ
鷀,シ
稵,シ
茬,シ
漦,シ
抾,キ
䀵,シ
微,ビ
𢼸,ビ
㵟,ビ
薇,ビ
䉠,ビ
䥩,ビ
癓,ビ
